depart;arrivee;duree
Gare de Auxerre-St-Gervais;Gare de Clamecy;76
Gare de Auxerre-St-Gervais;Gare de Corbigny;111
Gare de Clamecy;Gare de Corbigny;35
Gare de Lorient;Gare de Quimperlé;22
Châteaubriant;Gare de Janzé;57
Châteaubriant;Gare de Retiers;33
Gare de Dinan;Gare de Dol;30
Gare de Valençay;Luçay-le-Male;15
Gare de Romorantin-Blanc-Argent;Gare de Salbris;50
Gare de Faubourg-d'Orléans;Gare de Romorantin-Blanc-Argent;5
Gare de Faubourg-d'Orléans;Gare de Valençay;55
La Ferté-sur-Chiers;Sedan-Place-Calonne;59
Gare de Châlons-en-Champagne;Gare de Verdun;108
Gare de St-Dizier;Gare de Vitry-le-François;51
Gare de Joinville;Gare de St-Dizier;50
Gare de Chaumont;Gare de St-Dizier;123
Gare de Chaumont;Gare de Joinville;77
Gare de Chaumont;Langres-Gendarmerie;67
Gare de Chaumont;Gare de Troyes;100
Gare de Bar-sur-Aube;Juvancourt;32
Gare de Bar-sur-Aube;Gare de Troyes;98
Gare de Troyes;Gare de Vendeuvre (Aube);55
Bayel-Eglise;Juvancourt;18
Gare de Chaumont;Gare de Vendeuvre (Aube);60
Gare de Vendeuvre (Aube);Juvancourt;85
Gare de Chaumont;Ville-sous-La-Ferté;48
Bricon(la Poste);Gare de Chaumont;19
Gare de St-Florentin-Vergigny;Gare de Troyes;97
Gare de Laroche-Migennes;Gare de Troyes;130
Gare de Romilly-sur-Seine;Gare de Troyes;78
Gare de Troyes;Payns Abri Savières;26
Gare de Nogent-sur-Seine;Gare de Romilly-sur-Seine;35
Gare de Charleville-Mézières;Gare de Hirson;60
Gare de Fismes;Gare de Reims;58
Gare de Aillevillers;Gare de Belfort-Ville;102
Gare de Aillevillers;Gare de Lure;37
Gare de Besançon-Viotte;Gare de Morteau;88
Gare de Le Locle;Gare de Morteau;20
Gare de Le Valdahon;Gare de Morteau;54
Gare de Dole-Ville;Gare de Mouchard;47
Gare de Lons-le-Saunier;Gare de Mouchard;84
Gare de Mouchard;Gare de Poligny;28
Gare de Besançon-Viotte;Gare de Mouchard;58
Gare de Frasne;Gare de Pontarlier;30
Dompierre-Halte-Rout.;Gare de Pontarlier;21
Gare de Pontarlier;Les Granges-Narboz;10
Gare de Frasne;Jougne;56
Gare de Champagnole;Gare de Saint-Claude;87
Gare de Champagnole-PE-Victor;Gare de Dole-Ville;102
Gare de Andelot;Gare de Saint-Claude;107
Gare de Dole-Ville;Gare de Saint-Claude;204
Gare de Mouchard;Gare de Saint-Claude;124
Gare de Alès;Gare de Nîmes;50
