;Station;City
1714;grand-quevilly;grand-quevilly (le )
1715;vervins;vervins
1716;fos-graveleau;fos-sur-mer
1717;besançon-st-fergeux;besancon
1718;terrenoire;saint-etienne
1719;pihen;pihen-lès-guînes
1720;bouilly-roncenay;roncenay
1721;oloron-ste-marie;oloron-sainte-marie
1722;laveline-devant-bruyères;laveline-devant-bruyères
1723;villers-cotterêts;villers-cotterêts
1724;dreux;dreux
1725;loches;loches
1726;us;us
1727;rixheim;rixheim
1728;st-étienne-le clapier;saint-etienne
1729;presles-courcelles;presles
1730;louhossoa;louhossoa
1731;montmédy;montmédy
1732;lourches;roeulx
1733;commentry;commentry
1734;abancourt;abancourt
1735;marseille-st-charles;marseille
1736;sommesous;sommesous
1737;champagne-ardenne-tgv;bezannes
1738;trogues;trogues
1739;châtenois (bas-rhin);châtenois
1740;st-clair-les-roches;saint-clair-du-rhône
1741;prin-deyrançon;prin-deyrançon
1742;chirac;chirac
1743;sommery;sommery
1744;chevillon;chevillon
1745;nîmes-pont du gard;manduel
1746;le plessis-chenet;le coudray-montceaux
1747;chamousset;chamousset
1748;azay-sur-cher;montlouis-sur-loire
1749;razac;razac-sur-l'isle
1750;liart;liart
1751;leforest;leforest
1752;hombourg-budange;hombourg-budange
1753;stains-cerisaie tt;stains
1754;la meyze;la meyze
1755;st-louis-la-chaussée;saint-louis
1756;st-julien-du-sault;saint-julien-du-sault
1757;polisot;polisot
1758;fontenay-le-comte;fontenay-le-comte
1759;perrignier;perrignier
1760;pierreville;pierreville
1761;meung-sur-loire;meung-sur-loire
1762;saulnes;saulnes
1763;grenoble;grenoble
1764;pau;pau
1765;bonneville;bonneville
1766;isles-armentières;isles-les-meldeuses
1767;longjumeau;longjumeau
1768;chauffailles;chauffailles
1769;breteuil-ville;breteuil
1770;mullerhof;urmatt
1771;châtillon-sur-seine;châtillon-sur-seine
1772;st-germain-des-fossés;saint-germain-des-fossés
1773;échirolles;echirolles
1774;lothiers;tendu
1775;montferrand-thoraise;montferrand-le-château
1776;école-valentin;école-valentin
1777;caulnes;caulnes
1778;jalons-les-vignes;jâlons
1779;dorlisheim;dorlisheim
1780;argentan;moulins-sur-orne
1781;hirson;hirson
1782;laboissière-le-déluge;laboissière-en-thelle
1783;la seyne-six-fours;seyne-sur-mer (la )
1784;montpellier-st-roch;montpellier
1785;campagne;campagne-sur-aude
1786;herrlisheim-près-colmar;herrlisheim-près-colmar
1787;fontaines-mercurey;fontaines
1788;montbrison;montbrison
1789;pointe-de-grave;le verdon-sur-mer
1790;domont;domont
1791;la frette-montigny;la frette-sur-seine
1792;bon-encontre;boé
1793;st-rambert-d'albon;saint-rambert-d'albon
1794;les martres-de-veyre;les martres-de-veyre
1795;longueil-annel;longueil-annel
1796;berthelming;berthelming
1797;montoir-de-bretagne;montoir-de-bretagne
1798;ker-lann;bruz
1799;mertzwiller;mertzwiller
1800;rixheim;rixheim
1801;sceaux-boësse;boëssé-le-sec
1802;le cailar;le cailar
1803;veigné;veigné
1804;culmont-chalindrey;chalindrey
1805;st-macaire;saint-macaire
1806;rosières-aux-salines;dombasle-sur-meurthe
1807;fos-mériquette;fos-sur-mer
1808;frontignan;frontignan
1809;machilly;machilly
1810;épouville;épouville
1811;chasseneuil (vienne);chasseneuil-du-poitou
1812;salaise;salaise-sur-sanne
1813;roumazières-loubert;roumazières-loubert
1814;st-julien-clénay;saint-julien
1815;ogeu-les-bains;ogeu-les-bains
1816;st-avre-la-chambre;saint-avre
1817;jarnac;gondeville
1818;masseret;masseret
1819;pomas;pomas
1820;hermes-berthecourt;hermes
1821;vias;vias
1822;mézériat;mézériat
1823;auxy-juranville;auxy
1824;pas-des-lanciers;marignane
1825;monnaie;monnaie
1826;nice-st-augustin;nice
1827;auneau;roinville
1828;aulnay-sous-bois;aulnay-sous-bois
1829;théoule-sur-mer;théoule-sur-mer
1830;garchizy;garchizy
1831;st-sulpice;saint-sulpice
1832;thiers;thiers
1833;altkirch;altkirch
1834;chavanges;chavanges
1835;rassuen;istres
1836;reichshoffen-usines;reichshoffen
1837;geispolsheim;geispolsheim
1838;praye-sous-vaudémont;praye
1839;montescourt;montescourt-lizerolles
1840;vif;vif
1841;dirinon loperhet;loperhet
1842;pleyber-christ;pleyber-christ
1843;générac;générac
1844;st-sulpice-auteuil;saint-sulpice
1845;villers-les-pots;villers-les-pots
1846;bagnac;bagnac-sur-célé
1847;st-jean-pied-de-port;saint-jean-pied-de-port
1848;champagne-sur-seine;champagne-sur-seine
1849;malesherbes;malesherbes
1850;loos-lez-lille;loos
1851;moirans;moirans
1852;bassens-appontements;lormont
1853;sauto;sauto
